personhasethnicity	person has ethnicity
vegetableisproducedatcountry_inv	vegetable is produced at country (invert)
colorofobject	color of object
agriculturalproductcookedwithagriculturalproduct	agricultural product cooked with agricultural product
criminalssuchascriminals_inv	criminals such as criminals (invert)
agriculturalproductgrowninlandscapefeatures	agricultural product grown in landscape features
cityoforganizationheadquarters_inv	city of organization headquarters (invert)
emotionassociatedwithdisease_inv	emotion associated with disease (invert)
personhasjobposition_inv	person has job position (invert)
agentcontrols_inv	agent controls (invert)
clothingtogowithclothing_inv	clothing to go with clothing (invert)
cityliesonriver	city lies on river
zipcodeinlocation	zipcode in location
agriculturalproductincludingagriculturalproduct	agricultural product including agricultural product
wineryatfarm_inv	winery at farm (invert)
awardtrophytournamentisthechampionshipgameofthenationalsport_inv	award trophy tournament is the championship game of the national sport (invert)
agentowns	agent owns
professionssuchasprofessions_inv	professions such as professions (invert)
citycontainsbuilding	city contains building
geopoliticallocationcontainsstate_inv	geopolitical location contains state (invert)
professionssuchasprofessions	professions such as professions
hasspouse	has spouse
agentcollaborateswithagent_inv	agent collaborates with agent (invert)
architectssuchasarchitects_inv	architects such as architects (invert)
teammember	team member
conceptprerequisiteof	concept prerequisite of
awardtrophytournamentisthechampionshipgameofthenationalsport	award trophy tournament is the championship game of the national sport
objectlookslikeobject_inv	object looks like object (invert)
chemicaltypehaschemical	chemical type has chemical
stateorprovinceisborderedbystateorprovince	state or province is bordered by state or province
visualartmovementartist_inv	visual art movement artist (invert)
birdmayconsumeprotein	bird may consume protein
aquariumssuchasaquariums_inv	aquariums such as aquariums (invert)
languageofuniversity	language of university
bodypartcontainsmuscle	body part contains muscle
politicianuswenttoschool_inv	politician us went to school (invert)
cityliesonriver_inv	city lies on river (invert)
mlsoftwareauthor_inv	ml software author (invert)
televisioncompanyaffiliate_inv	television company affiliate (invert)
countrycontainsfarm_inv	country contains farm (invert)
agenthaswebsite	agent has website
hasspouse_inv	has spouse (invert)
subpartof_inv	subpart of (invert)
athleteplayedforschool_inv	athlete played for school (invert)
objectpartofobject	object part of object
bodypartwithinbodypart	body part within body part
sportsteampositionathlete_inv	sports team position athlete (invert)
plantrepresentemotion_inv	plant represent emotion (invert)
arthropodsuchascrustacean_inv	arthropod such as crustacean (invert)
awardtrophytournamentwasawardedonstadium	award trophy tournament was awarded on stadium
weaponssuchasweapons_inv	weapons such as weapons (invert)
persondiedinstateorprovince	person died in state or province
inverseoftouristattraction	inverse of tourist attraction
actorworkedwithdirector	actor worked with director
organizationterminatedperson_inv	organization terminated person (invert)
